GCU_ID CATIROC_ID Thres_HG Thre FreqValue TrigMode_PM DisTrigger GCU_Avail IP GCU_Auto CAT_ENABLE BEC_Port
8209 0 100 520 10 HG Y Y 10.7.32.17 Y Y 1
8209 1 100 520 - - - - - - - -
8209 2 100 520 - - - - - - - -
8209 3 100 520 - - - - - - - -
8209 4 100 520 - - - - - - - -
8209 5 100 520 - - - - - - - -
8209 6 100 520 - - - - - - - -
8209 7 100 520 - - - - - - - -
8074 0 100 520 10 HG Y Y 10.7.31.138 Y Y 2
8074 1 100 520 - - - - - - - -
8074 2 100 520 - - - - - - - -
8074 3 100 520 - - - - - - - -
8074 4 100 520 - - - - - - - -
8074 5 100 520 - - - - - - - -
8074 6 100 520 - - - - - - - -
8074 7 100 520 - - - - - - - -
8080 0 100 520 10 HG Y Y 10.7.31.144 Y Y 4
8080 1 100 520 - - - - - - - -
8080 2 100 520 - - - - - - - -
8080 3 100 520 - - - - - - - -
8080 4 100 520 - - - - - - - -
8080 5 100 520 - - - - - - - -
8080 6 100 520 - - - - - - - -
8080 7 100 520 - - - - - - - -
8067 0 100 520 10 HG Y Y 10.7.31.131 Y Y 5
8067 1 100 520 - - - - - - - -
8067 2 100 520 - - - - - - - -
8067 3 100 520 - - - - - - - -
8067 4 100 520 - - - - - - - -
8067 5 100 520 - - - - - - - -
8067 6 100 520 - - - - - - - -
8067 7 100 520 - - - - - - - -
8178 0 100 520 10 HG Y Y 10.7.31.242 Y Y 6
8178 1 100 520 - - - - - - - -
8178 2 100 520 - - - - - - - -
8178 3 100 520 - - - - - - - -
8178 4 100 520 - - - - - - - -
8178 5 100 520 - - - - - - - -
8178 6 100 520 - - - - - - - -
8178 7 100 520 - - - - - - - -
8092 0 100 520 10 HG Y Y 10.7.31.156 Y Y 7
8092 1 100 520 - - - - - - - -
8092 2 100 520 - - - - - - - -
8092 3 100 520 - - - - - - - -
8092 4 100 520 - - - - - - - -
8092 5 100 520 - - - - - - - -
8092 6 100 520 - - - - - - - -
8092 7 100 520 - - - - - - - -
8019 0 100 520 10 HG Y Y 10.7.31.83 Y Y 8
8019 1 100 520 - - - - - - - -
8019 2 100 520 - - - - - - - -
8019 3 100 520 - - - - - - - -
8019 4 100 520 - - - - - - - -
8019 5 100 520 - - - - - - - -
8019 6 100 520 - - - - - - - -
8019 7 100 520 - - - - - - - -
8006 0 100 520 10 HG Y Y 10.7.31.70 Y Y 10
8006 1 100 520 - - - - - - - -
8006 2 100 520 - - - - - - - -
8006 3 100 520 - - - - - - - -
8006 4 100 520 - - - - - - - -
8006 5 100 520 - - - - - - - -
8006 6 100 520 - - - - - - - -
8006 7 100 520 - - - - - - - -
8202 0 100 520 10 HG Y Y 10.7.32.10 Y Y 11
8202 1 100 520 - - - - - - - -
8202 2 100 520 - - - - - - - -
8202 3 100 520 - - - - - - - -
8202 4 100 520 - - - - - - - -
8202 5 100 520 - - - - - - - -
8202 6 100 520 - - - - - - - -
8202 7 100 520 - - - - - - - -
8197 0 100 520 10 HG Y Y 10.7.32.5 Y Y 13
8197 1 100 520 - - - - - - - -
8197 2 100 520 - - - - - - - -
8197 3 100 520 - - - - - - - -
8197 4 100 520 - - - - - - - -
8197 5 100 520 - - - - - - - -
8197 6 100 520 - - - - - - - -
8197 7 100 520 - - - - - - - -
8085 0 100 520 10 HG Y Y 10.7.31.149 Y Y 16
8085 1 100 520 - - - - - - - -
8085 2 100 520 - - - - - - - -
8085 3 100 520 - - - - - - - -
8085 4 100 520 - - - - - - - -
8085 5 100 520 - - - - - - - -
8085 6 100 520 - - - - - - - -
8085 7 100 520 - - - - - - - -
8147 0 100 520 10 HG Y Y 10.7.31.211 Y Y 17
8147 1 100 520 - - - - - - - -
8147 2 100 520 - - - - - - - -
8147 3 100 520 - - - - - - - -
8147 4 100 520 - - - - - - - -
8147 5 100 520 - - - - - - - -
8147 6 100 520 - - - - - - - -
8147 7 100 520 - - - - - - - -
8126 0 100 520 10 HG Y Y 10.7.31.190 Y Y 21
8126 1 100 520 - - - - - - - -
8126 2 100 520 - - - - - - - -
8126 3 100 520 - - - - - - - -
8126 4 100 520 - - - - - - - -
8126 5 100 520 - - - - - - - -
8126 6 100 520 - - - - - - - -
8126 7 100 520 - - - - - - - -
8086 0 100 520 10 HG Y Y 10.7.31.150 Y Y 23
8086 1 100 520 - - - - - - - -
8086 2 100 520 - - - - - - - -
8086 3 100 520 - - - - - - - -
8086 4 100 520 - - - - - - - -
8086 5 100 520 - - - - - - - -
8086 6 100 520 - - - - - - - -
8086 7 100 520 - - - - - - - -
